id;route_number;stop_number;sequence_number;sales_rep_code;customer_number_1;customer_number_2;customer_name;customer_address;status
1;82925;72817;10557;Money Market Account systems;69083;69120;Palestinian Territory Small Plastic Keyboard;Assistant mobile Licensed Plastic Ball;attitude
2;33251;46729;18911;Cambodia Orchestrator;31119;33636;one-to-one explicit Intranet;lavender Pants;Technician Computer bypassing
3;69126;55955;93364;synthesize scalable;2843;84815;Borders Chief Frozen;Awesome Granite Salad New Hampshire Antarctica (the territory South of 60 deg S);hard drive
4;90370;48418;20026;Cross-group;14987;81331;transmitter;Avon;clear-thinking Producer Persistent
5;19201;51438;33526;HTTP;26675;88030;Regional Practical Granite Chair;tan;Uzbekistan Sum
6;13552;45004;88651;Soft;69918;95300;Corporate Operations;copying;Landing JBOD alarm
7;16414;6774;31594;grey haptic;74314;3303;transmitting neural;Rustic input;Licensed Wooden Ball
8;17377;81040;35882;deposit Ergonomic solid state;63728;94835;parse Electronics;Assurance SAS;Practical clicks-and-mortar
9;22326;14024;94164;concept Money Market Account;49028;62444;Home homogeneous;expedite;connect
10;63853;3938;57778;CSS Seychelles withdrawal;257;78913;Tuna;exploit auxiliary;Dynamic Awesome Wooden Chicken violet
